Port Name,State,Port Code,Border,Date,Measure,Value,Location
Del Bonita,Montana,3322,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,39,POINT (-112.32481 48.63274)
Vanceboro,Maine,105,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1476,POINT (-67.42955 45.55984)
Westhope,North Dakota,3419,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,861,POINT (-101.02001 48.9094)
Nogales,Arizona,2604,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,5928,POINT (-110.93361 31.340279999999996)
Lukeville,Arizona,2602,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,46128,POINT (-112.81500000000001 31.8825)
Massena,New York,704,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,118275,POINT (-74.74 44.98944)
Otay Mesa,California,2506,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,306812,POINT (-117.05333 32.57333)
Sarles,North Dakota,3409,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,54,POINT (-98.99457 48.941050000000004)
Del Rio,Texas,2302,US-Mexico Border,03/01/2019 12:00:00 AM,Buses,1,POINT (-100.89639 29.3625)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,19,POINT (-117.89655000000002 48.54648)
Douglas,Arizona,2601,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Eagle Pass,Texas,2303,US-Mexico Border,03/01/2019 12:00:00 AM,Trains,282,POINT (-100.49917 28.70889)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,20,POINT (-117.89655000000002 48.54648)
Jackman,Maine,104,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,12881,POINT (-70.255 45.62389)
Port Angeles,Washington,3007,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,24,POINT (-123.43280000000001 48.11365)
Danville,Washington,3012,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,33,POINT (-118.50309000000001 48.99617)
Port Huron,Michigan,3802,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,3707,POINT (-82.47889 42.97583)
Limestone,Maine,118,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,28,POINT (-67.82708 46.90941)
Andrade,California,2502,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,50180,POINT (-114.63402 32.7394)
Del Bonita,Montana,3322,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,2,POINT (-112.32481 48.63274)
Piegan,Montana,3316,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,155,POINT (-113.43406 48.85152)
Progreso,Texas,2309,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,259042,POINT (-97.94889 26.061670000000003)
Baudette,Minnesota,3424,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,489,POINT (-94.72512 48.70731)
Port Huron,Michigan,3802,US-Canada Border,03/01/2019 12:00:00 AM,Buses,196,POINT (-82.47889 42.97583)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,358,POINT (-102.54917 48.99583)
Danville,Washington,3012,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3567,POINT (-118.50309000000001 48.99617)
Brownsville,Texas,2301,US-Mexico Border,03/01/2019 12:00:00 AM,Trains,76,POINT (-97.49722 25.90139)
El Paso,Texas,2402,US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,68998,POINT (-106.48639 31.758610000000004)
Champlain-Rouses Point,New York,712,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,4872,POINT (-73.44694 44.98639)
Derby Line,Vermont,209,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,30580,POINT (-72.09944 45.005)
Van Buren,Maine,108,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,833,POINT (-67.94271 47.16207)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,40591,POINT (-75.48167 44.70667)
Boundary,Washington,3015,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,6,POINT (-117.89655000000002 48.54648)
Brownsville,Texas,2301,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,11553,POINT (-97.49722 25.90139)
Sherwood,North Dakota,3414,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,2058,POINT (-101.55954000000001 48.99719)
Sherwood,North Dakota,3414,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,515,POINT (-101.55954000000001 48.99719)
Alcan,Alaska,3104,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,392,POINT (-142.98928 63.33693)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Buses,9,POINT (-102.54917 48.99583)
Norton,Vermont,211,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,711,POINT (-71.79528000000002 45.01)
Jackman,Maine,104,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,5,POINT (-70.255 45.62389)
Otay Mesa,California,2506,US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,235,POINT (-117.05333 32.57333)
Roosville,Montana,3318,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,9282,POINT (-115.04512000000001 48.88171)
Massena,New York,704,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,3289,POINT (-74.74 44.98944)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,399,POINT (-102.54917 48.99583)
Progreso,Texas,2309,US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,5198,POINT (-97.94889 26.061670000000003)
Eagle Pass,Texas,2303,US-Mexico Border,03/01/2019 12:00:00 AM,Buses,207,POINT (-100.49917 28.70889)
Richford,Vermont,203,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,159,POINT (-72.67832000000001 44.98588)
Lukeville,Arizona,2602,US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,123243,POINT (-112.81500000000001 31.8825)
Hansboro,North Dakota,3415,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,5,POINT (-99.38250000000001 48.95)
Beecher Falls,Vermont,206,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,482,POINT (-71.49664 45.00808)
Sumas,Washington,3009,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,233,POINT (-122.26361 49.00028)
Westhope,North Dakota,3419,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,616,POINT (-101.02001 48.9094)
Cross Border Xpress,California,2582,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,121176,POINT (-116.975 32.54722)
Warroad,Minnesota,3423,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,234,POINT (-95.3261 48.89625)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,3203,POINT (-75.48167 44.70667)
Port Angeles,Washington,3007,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,3643,POINT (-123.43280000000001 48.11365)
Fort Kent,Maine,110,US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,65,POINT (-68.58458 47.26878)
Detroit,Michigan,3801,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,578566,POINT (-83.10222 42.38306000000001)
Warroad,Minnesota,3423,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,374,POINT (-95.3261 48.89625)
Naco,Arizona,2603,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,123,POINT (-109.9475 31.335280000000004)
Port Angeles,Washington,3007,US-Canada Border,03/01/2019 12:00:00 AM,Buses,3,POINT (-123.43280000000001 48.11365)
Alexandria Bay,New York,708,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,16540,POINT (-75.91806 44.33583)
Ferry,Washington,3013,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,1106,POINT (-118.58774 48.88627)
Noonan,North Dakota,3420,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1706,POINT (-103.00333 48.88232)
Skagway,Alaska,3103,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,130,POINT (-135.30656 59.47196999999999)
Lukeville,Arizona,2602,US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,292,POINT (-112.81500000000001 31.8825)
Northgate,North Dakota,3406,US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,45,POINT (-102.39634 48.89848)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,21299,POINT (-75.48167 44.70667)
El Paso,Texas,2402,US-Mexico Border,03/01/2019 12:00:00 AM,Trains,118,POINT (-106.48639 31.758610000000004)
Vanceboro,Maine,105,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,12,POINT (-67.42955 45.55984)
Dalton Cache,Alaska,3106,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,1175,POINT (-135.40995 59.10606000000001)
Roseau,Minnesota,3426,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,122,POINT (-95.81074 48.77518)
Blaine,Washington,3004,US-Canada Border,03/01/2019 12:00:00 AM,Buses,969,POINT (-122.74583 48.99389)
Blaine,Washington,3004,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,649633,POINT (-122.74583 48.99389)
Jackman,Maine,104,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,895,POINT (-70.255 45.62389)
Tornillo-Fabens,Texas,2404,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,3285,POINT (-106.15806 31.502219999999998)
Sumas,Washington,3009,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,72361,POINT (-122.26361 49.00028)
Sweetgrass,Montana,3310,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,568,POINT (-111.95972 48.99611000000001)
Presidio,Texas,2403,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,140,POINT (-104.37167 29.56056)
Beecher Falls,Vermont,206,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,5354,POINT (-71.49664 45.00808)
Pinecreek,Minnesota,3425,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,253,POINT (-95.81074 48.77518)
Eastport,Maine,103,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,97,POINT (-66.99387 44.90357)
Columbus,New Mexico,2406,US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,1236,POINT (-107.63944 31.827499999999997)
Detroit,Michigan,3801,US-Canada Border,03/01/2019 12:00:00 AM,Buses,691,POINT (-83.10222 42.38306000000001)
Roosville,Montana,3318,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,372,POINT (-115.04512000000001 48.88171)
Tecate,California,2505,US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,4608,POINT (-116.62667 32.57722)
El Paso,Texas,2402,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,17378,POINT (-106.48639 31.758610000000004)
Opheim,Montana,3317,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,428,POINT (-106.40265 48.85574)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,50,POINT (-75.48167 44.70667)
Blaine,Washington,3004,US-Canada Border,03/01/2019 12:00:00 AM,Trains,150,POINT (-122.74583 48.99389)
Anacortes,Washington,3010,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,127,POINT (-122.61738999999999 48.49988)
Columbus,New Mexico,2406,US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,21961,POINT (-107.63944 31.827499999999997)
Fort Fairfield,Maine,107,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,410,POINT (-67.82965 46.76891)
Ogdensburg,New York,701,US-Canada Border,03/01/2019 12:00:00 AM,Buses,2,POINT (-75.48167 44.70667)
Sault Sainte Marie,Michigan,3803,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,1765,POINT (-84.29889 46.47028)
Portal,North Dakota,3403,US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,17953,POINT (-102.54917 48.99583)
Champlain-Rouses Point,New York,712,US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,2430,POINT (-73.44694 44.98639)
Alcan,Alaska,3104,US-Canada Border,03/01/2019 12:00:00 AM,Trucks,553,POINT (-142.98928 63.33693)
Wildhorse,Montana,3323,US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,3,POINT (-109.67761 48.54863)
Presidio,Texas,2403,US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,651,POINT (-104.37167 29.56056)
Sweetgrass,Montana,3310,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,12414,POINT (-111.95972 48.99611000000001)
Calexico East,California,2507,US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,4200,POINT (-115.48433000000001 32.67524)
Alexandria Bay,New York,708,US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,82389,POINT (-75.91806 44.33583)
Van Buren,Maine,108,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,12591,POINT (-67.94271 47.16207)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,7258,POINT (-73.10583 44.979440000000004)
Blaine,Washington,3004,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,240329,POINT (-122.74583 48.99389)
Neche,North Dakota,3404,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,252,POINT (-97.55444 48.98611)
Port Huron,Michigan,3802,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,15030,POINT (-82.47889 42.97583)
Lynden,Washington,3023,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,35,POINT (-122.44316000000002 48.94802)
Roosville,Montana,3318,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,440,POINT (-115.04512000000001 48.88171)
Jackman,Maine,104,US-Canada Border,02/01/2019 12:00:00 AM,Trains,35,POINT (-70.255 45.62389)
Grand Portage,Minnesota,3613,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,10527,POINT (-89.68472000000001 47.96389)
Santa Teresa,New Mexico,2408,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,86086,POINT (-106.67903 31.850000000000005)
Eagle Pass,Texas,2303,US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,3705,POINT (-100.49917 28.70889)
Sarles,North Dakota,3409,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,108,POINT (-98.99457 48.941050000000004)
Tecate,California,2505,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,79324,POINT (-116.62667 32.57722)
Sweetgrass,Montana,3310,US-Canada Border,02/01/2019 12:00:00 AM,Buses,18,POINT (-111.95972 48.99611000000001)
Calexico,California,2503,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,682264,POINT (-115.49806000000001 32.67889)
Lukeville,Arizona,2602,US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,3,POINT (-112.81500000000001 31.8825)
Roosville,Montana,3318,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,70,POINT (-115.04512000000001 48.88171)
Port Huron,Michigan,3802,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,18016,POINT (-82.47889 42.97583)
Eastport,Maine,103,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,6724,POINT (-66.99387 44.90357)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,46254,POINT (-73.10583 44.979440000000004)
Richford,Vermont,203,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,458,POINT (-72.67832000000001 44.98588)
Andrade,California,2502,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,44419,POINT (-114.63402 32.7394)
Del Bonita,Montana,3322,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,31,POINT (-112.32481 48.63274)
Buffalo-Niagara Falls,New York,901,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,6175,POINT (-79.05694 43.09444)
Limestone,Maine,118,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,21,POINT (-67.82708 46.90941)
Calexico East,California,2507,US-Mexico Border,02/01/2019 12:00:00 AM,Trains,18,POINT (-115.48433000000001 32.67524)
Walhalla,North Dakota,3407,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1935,POINT (-97.91778 48.92333)
Westhope,North Dakota,3419,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,741,POINT (-101.02001 48.9094)
Nighthawk,Washington,3011,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,305,POINT (-119.63537999999998 48.82366)
Alexandria Bay,New York,708,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,1433,POINT (-75.91806 44.33583)
Dunseith,North Dakota,3422,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,23,POINT (-100.05863 48.81369)
Nogales,Arizona,2604,US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,26492,POINT (-110.93361 31.340279999999996)
Presidio,Texas,2403,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,53410,POINT (-104.37167 29.56056)
Sweetgrass,Montana,3310,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,313,POINT (-111.95972 48.99611000000001)
Sault Sainte Marie,Michigan,3803,US-Canada Border,02/01/2019 12:00:00 AM,Buses,58,POINT (-84.29889 46.47028)
Norton,Vermont,211,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,929,POINT (-71.79528000000002 45.01)
Del Bonita,Montana,3322,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,1,POINT (-112.32481 48.63274)
Tornillo-Fabens,Texas,2404,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,61031,POINT (-106.15806 31.502219999999998)
Lynden,Washington,3023,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,2184,POINT (-122.44316000000002 48.94802)
Sweetgrass,Montana,3310,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,9119,POINT (-111.95972 48.99611000000001)
Rio Grande City,Texas,2307,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,35946,POINT (-98.82 26.37944)
Northgate,North Dakota,3406,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,241,POINT (-102.39634 48.89848)
Sault Sainte Marie,Michigan,3803,US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,54,POINT (-84.29889 46.47028)
Sherwood,North Dakota,3414,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,26,POINT (-101.55954000000001 48.99719)
Fort Fairfield,Maine,107,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,37,POINT (-67.82965 46.76891)
Houlton,Maine,106,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,6848,POINT (-67.84083 46.12611)
El Paso,Texas,2402,US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,16757,POINT (-106.48639 31.758610000000004)
Pembina,North Dakota,3401,US-Canada Border,02/01/2019 12:00:00 AM,Buses,75,POINT (-97.24333 48.96639)
Calexico East,California,2507,US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,523,POINT (-115.48433000000001 32.67524)
Laurier,Washington,3016,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,2230,POINT (-118.22302 48.99892)
Sasabe,Arizona,2606,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,3241,POINT (-111.54139 31.48861)
Hannah,North Dakota,3408,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,34,POINT (-98.701 48.97029)
Beecher Falls,Vermont,206,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,548,POINT (-71.49664 45.00808)
Calexico East,California,2507,US-Mexico Border,02/01/2019 12:00:00 AM,Buses,137,POINT (-115.48433000000001 32.67524)
Laurier,Washington,3016,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,3992,POINT (-118.22302 48.99892)
Sumas,Washington,3009,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,3294,POINT (-122.26361 49.00028)
Massena,New York,704,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,1987,POINT (-74.74 44.98944)
Oroville,Washington,3019,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,461,POINT (-119.43444 48.93917)
Roma,Texas,2310,US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,871,POINT (-99.01833 26.40361)
Sarles,North Dakota,3409,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,86,POINT (-98.99457 48.941050000000004)
Hansboro,North Dakota,3415,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,8,POINT (-99.38250000000001 48.95)
Sumas,Washington,3009,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,52878,POINT (-122.26361 49.00028)
Turner,Montana,3306,US-Canada Border,02/01/2019 12:00:00 AM,Buses,1,POINT (-108.40599 48.84361)
Eastport,Maine,103,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,13,POINT (-66.99387 44.90357)
Trout River,New York,715,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,584,POINT (-73.44253 44.990010000000005)
Laurier,Washington,3016,US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,22,POINT (-118.22302 48.99892)
Piegan,Montana,3316,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,5897,POINT (-113.43406 48.85152)
Eastport,Idaho,3302,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,7033,POINT (-116.18027999999998 48.99944)
Roseau,Minnesota,3426,US-Canada Border,02/01/2019 12:00:00 AM,Buses,1,POINT (-95.81074 48.77518)
Port Huron,Michigan,3802,US-Canada Border,02/01/2019 12:00:00 AM,Trains,241,POINT (-82.47889 42.97583)
Fort Kent,Maine,110,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,49,POINT (-68.58458 47.26878)
Skagway,Alaska,3103,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,147,POINT (-135.30656 59.47196999999999)
Hidalgo,Texas,2305,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,342015,POINT (-98.26278 26.1)
Madawaska,Maine,109,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,188,POINT (-68.3271 47.35446)
San Luis,Arizona,2608,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,414150,POINT (-114.78139000000002 32.48694)
Raymond,Montana,3301,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,1400,POINT (-104.575 48.99667)
Buffalo-Niagara Falls,New York,901,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,14928,POINT (-79.05694 43.09444)
St. John,North Dakota,3405,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,142,POINT (-99.71915 48.94208)
Limestone,Maine,118,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,811,POINT (-67.82708 46.90941)
El Paso,Texas,2402,US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,6505,POINT (-106.48639 31.758610000000004)
Fortuna,North Dakota,3417,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,1134,POINT (-103.77906 48.91086)
Madawaska,Maine,109,US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,30,POINT (-68.3271 47.35446)
Nogales,Arizona,2604,US-Mexico Border,02/01/2019 12:00:00 AM,Buses,717,POINT (-110.93361 31.340279999999996)
Calexico East,California,2507,US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,24213,POINT (-115.48433000000001 32.67524)
Van Buren,Maine,108,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,1165,POINT (-67.94271 47.16207)
El Paso,Texas,2402,US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,49336,POINT (-106.48639 31.758610000000004)
San Luis,Arizona,2608,US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,236710,POINT (-114.78139000000002 32.48694)
Fort Fairfield,Maine,107,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,8884,POINT (-67.82965 46.76891)
Jackman,Maine,104,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,7177,POINT (-70.255 45.62389)
Champlain-Rouses Point,New York,712,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,3456,POINT (-73.44694 44.98639)
International Falls-Ranier,Minnesota,3604,US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,10831,POINT (-93.41083 48.60111)
Beecher Falls,Vermont,206,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,360,POINT (-71.49664 45.00808)
Eagle Pass,Texas,2303,US-Mexico Border,02/01/2019 12:00:00 AM,Trains,258,POINT (-100.49917 28.70889)
Pembina,North Dakota,3401,US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,186,POINT (-97.24333 48.96639)
Blaine,Washington,3004,US-Canada Border,02/01/2019 12:00:00 AM,Buses,801,POINT (-122.74583 48.99389)
Ogdensburg,New York,701,US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,578,POINT (-75.48167 44.70667)
Point Roberts,Washington,3017,US-Canada Border,02/01/2019 12:00:00 AM,Trucks,729,POINT (-123.07994 48.96978)
International Falls-Ranier,Minnesota,3604,US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,322,POINT (-93.41083 48.60111)
Baudette,Minnesota,3424,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,17336,POINT (-94.72512 48.70731)
Douglas,Arizona,2601,US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,1961,POINT (-109.54472 31.344439999999995)
Pinecreek,Minnesota,3425,US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,209,POINT (-95.81074 48.77518)
Detroit,Michigan,3801,US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,302622,POINT (-83.10222 42.38306000000001)
Westhope,North Dakota,3419,US-Canada Border,01/01/2019 12:00:00 AM,Trucks,626,POINT (-101.02001 48.9094)
Lukeville,Arizona,2602,US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,24,POINT (-112.81500000000001 31.8825)
Noonan,North Dakota,3420,US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,197,POINT (-103.00333 48.88232)
Dalton Cache,Alaska,3106,US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,1073,POINT (-135.40995 59.10606000000001)
Sault Sainte Marie,Michigan,3803,US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,624,POINT (-84.29889 46.47028)
Del Rio,Texas,2302,US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,1388,POINT (-100.89639 29.3625)
Lancaster,Minnesota,3430,US-Canada Border,01/01/2019 12:00:00 AM,Buses,2,POINT (-96.82024 48.84911000000001)
Blaine,Washington,3004,US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,282837,POINT (-122.74583 48.99389)
